season,round,team1,team2,date,venue,round_full_desc
2018,Qualifying Final,TBD,TBD,TBD,TBD,Qualifying Final 1
2018,Qualifying Final,TBD,TBD,TBD,TBD,Qualifying Final 2
2018,Elimination Final,TBD,TBD,TBD,TBD,Elimination Final 1
2018,Elimination Final,TBD,TBD,TBD,TBD,Elimination Final 2
2018,Semi Final,TBD,TBD,TBD,TBD,Semi Final 1
2018,Semi Final,TBD,TBD,TBD,TBD,Semi Final 2
2018,Preliminary Final,TBD,TBD,TBD,TBD,Preliminary Final 1
2018,Preliminary Final,TBD,TBD,TBD,TBD,Preliminary Final 2
2018,Preliminary Final,TBD,TBD,TBD,TBD,Preliminary Final 2
2018,Grand Final,TBD,TBD,TBD,TBD,Grand Final
